Module1	Module2	Module3	Module4	Module5	Module6
84	Rassf4	Celf3	Mrpl52	Ywhab	Gria4	Selm
85	Msn	Rps20	Gm10076	Gabbr2	Scn8a	Nefh
86	Pcbp1	Dpysl3	Ndufs5	Nav1	Atp2b4	Gpr158
87	Pou6f2	Igfbp4	Rps14	Mstn	Rnf152	Hdac11
88	Elavl4	Fscn1	Hmgn2	Myt1l	Rgs9	Bhlhe40
89	Sox12	Rpl30	Gm2000	Trpm3	Sema3e	Kcna1
90	Ubash3b	Prmt1	Acta1	Dscam	March1	Lgi3
91	2700081O15Rik	H2afz	Mrpl23	Fam184b	Npas4	Gm12027
92	Hmgcs1	Islr2	Rpl26	Ankrd12	Fam217b	Thrsp
93	Nr2f2	Npc2	Ndufa5	Acsl4	Cacng5	Ankrd34a
94	Map2	Gsn	Dtx1	Tax1bp1	Syt7	Dync1i1
95	Cacng4	Cntfr	Rab3b	Pcm1	Hs6st2	Sh3bgrl2
96	Rcc2	Hnrnpf	Xist	Ano6	Ldb2	Got1
97	Irx5	Sox4	Myl6	Golga4	Dpp10	Gm10419
98	Cda	Smarce1	Eif3f	Grip1	Atp1b2	Stac2
99	Nova2	Atp5g2	Ankra2	Cntln	Uhmk1	Kcnab2
100	Erdr1	Ybx1	Eef1g	Oxct1	Purb	Emb
101	Mex3a	Pcbp4	Oaz2	Zdbf2	Rgs4	Grin2a
102	Sfpq	Serf2	Bex4	Gpc2	Hook1	Glrb
103	Myh10	Dpysl4	Tma7	Flna	Gprasp1	9530059O14Rik
104	Hip1	Ube2i	Snhg12	Trank1	Pja2	Iqsec3
105	Skil	Atat1	Ppia	Ajap1	Psmc1	Itm2c
106	Dhx9	Vat1	mt-Nd3	Akap7	BC003331	Tmem59l
107	Chrna3	Dynll1	Tonsl	Nell2	Xiap	Nrip2
108	Marcks	Csnk1e	Uqcrb	Pdzd2	Tspan2	Nrn1
109	Nrep	Prdx2	Rpl3	Mblac2	Arhgap20	A230050P20Rik
110	Sulf2	Ptov1	Pla2g7	Nlk	Ubxn2a	Bhlhe41
111	Ezh2	Ran	Wdr89	Grm5	Slc4a10	Nptx1
112	Calr	Hmgb3	Msantd1	Kif5a	Tspan9	Cops7a
113	Celf2	St8sia2	Gm1673	Atp2b1	Trim37	Tpi1
114	Chst8	Idh1	Apbb2	1700020I14Rik	Scoc	Cacnb4
115	Sfrp2	Rps3a1	Ndufa3	Rock1	Clstn2	Medag
116	Cul3	Rps11	Cox6c	Jun	Atp6v1a	Gm13629
117	Ptp4a2	mt-Nd4l	Csdc2	Nudt4	Nrp2	Prune2
118	Ebf3	Rpl23	Tmem258	Ap3d1	Ptpre	Hsf4
119	Gls	H2afy2	Rcn1	Pgm2l1	Gjd2	Kazald1
120	Rab12	Rps5	Ooep	Kmt2a	Pdcd4	Anxa2
121	Nktr	Bri3	Polr2k	Gnl3l	Ube2ql1	BC030499
122	Cyp51	Fdps	Skp1a	Pcdh17	Pde4b	Tppp
123	Nrp1	Ckap4	Slirp	9330159F19Rik	A830010M20Rik	Jam2
124	Thsd7a	Rbm3	Mapt	2510009E07Rik	Gnai1	Sptb
125	Slit2	Cfl1	Morf4l1	Sltm	Osbpl1a	Cit
